,x,y,year,topic,category,authors
0,5.65628,6.482036,2025,Regulating by New Technology: The Impacts of the SEC Data Analytics on the SEC Investigations,Financial Reporting,Tian Deng
1,5.603578,6.280303,2025,Do SPAC Combinations Affect Their Peers’ Financial Reporting Choices?,Financial Reporting,"Daniel Cohen, Sunay Mutlu, Kelly Ha, John Schomburger"
2,6.052009,6.6094847,2025,Voluntary Public Disclosure of Revenues by Private Companies in the United States,Financial Reporting,"Thomas Bourveau, Yiran Kang, Wenqiang Pan, Robert Stoumbos"
3,6.3313637,6.7835107,2025,How does more mandated public disclosure by private firms affect public firms’disclosure of customer identities?,Financial Reporting,"Jeffrey Ng, Chunyan Wei, Janus Jian Zhang"
4,6.4514995,6.88213,2025,Real Effects of Mandatory Disclosure of Proprietary Information,Financial Reporting,Mary Lee
5,4.188782,6.108404,2025,Accounting conservatism and efficient project continuation revisited,Financial Reporting,Jochen Bigus
6,5.306089,7.8440137,2025,Behavioral Conservatism,Financial Reporting,"Yasmin Hoffmann, Qian Zhang, Joaquin Peris Peris"
7,5.1824317,4.7533293,2025,Reassessed Earnings with Capitalized Intangibles,Financial Reporting,"Anup Srivastava, Aneel Iqbal, Shiva Rajgopal, Elnaz Basirianmahabadi"
8,3.4109173,7.011874,2025,Board interlocks and corporate risk disclosures,Financial Reporting,"Amin Tavakkolnia, Dieter Smeulders"
9,5.001604,8.908994,2025,Market Reactions to Mandatory Climate Disclosure: Evidence from California’s Climate Accountability Laws,Financial Reporting,"Tahmina Ahmed, Xing Huan, Gregory Saxton"
10,5.4570527,6.0412335,2025,What can we learn about expected credit losses from disclosure?,Financial Reporting,"Argyro Panaretou, Sam Rawsthorne"
11,6.5425544,6.810947,2025,Real Effects of Mandatory Forward-Looking Disclosures: Evidence from a Natural Experiment,Financial Reporting,"Zhongwen Fan, Yifan Jia, XinWang"
12,6.522476,6.830404,2025,Peer Disclosure,Financial Reporting,"Manyun Tang, Amir Amel-Zadeh, Kazbi Soonawalla"
13,6.422554,6.9807653,2025,Different Types of Information Processing Costs and Voluntary Disclosure,Financial Reporting,Jung Min Kim
14,5.502337,5.890721,2025,Bankruptcy Prediction Using Machine Learning Models: Analyst Forecast Information Content Perspective,Financial Reporting,"Yun Hao, Tsung-Kang Chen, Hsien-Hsing Liao, Xue-Sheng Zhou"
15,6.890114,5.427987,2025,Economists’ herding behavior and the presence of in-house corporate analysts,Financial Reporting,"Andrea Bafundi, Claudia Imperatore"
16,4.2779584,5.9907255,2025,Does Accounting Conservatism Discipline Voluntary Disclosure? Evidence from Corporate Political Spending,Financial Reporting,"Mahmoud Nasr, Alaa Zalata"
